English Name_Nom anglais,French Name_Nom français,Scientific Name_Nom scientifique,Taxonomic Sort Order _Ordre de tri taxonomique,Species Occurrence in Canada _Occurrence de l'espèce au Canada,Approx % population change (base year-2016)_Variation approx en % de la population (année de base-2016),Population change category_ Catégorie de la variation de la population ,Data Source _Source de données,Regularly Occurring Native Species (included in analyses) _Espèce indigène régulièrement présente (incluse dans les analyses),Species Whose Range Expanded Into Canada Since 1970 (excluded from indicators) _Espèces dont l'aire de répartition s'est étendue au Canada depuis 1970 (exclus des indicateurs),Waterfowl _Sauvagine,Birds of Prey _Oiseaux de proie,Wetland Birds _Oiseaux de milieux humides,"Seabirds (includes all 58 seabird species - all species other than those with the data source indicating ""No acceptable data for indicator"" are included in the Canadian Nesting Seabirds indicator) _Oiseaux de mer (comprend les 58 espèces d'oiseaux de mer - toutes les espèces sauf celles qui ont comme source de données « Aucune donnée acceptable pour l'indicateur » sont incluses dans l'indicateur des oiseaux de mer nichant au Canada)",Forest Birds _Oiseaux forestiers,All Other Birds _Tous les autres oiseaux,Shorebirds _Oiseaux de rivage,Grassland Birds _Oiseaux de prairie,Aerial Insectivores _Insectivores aériens,Waterfowl and Wetland Birds - Goose species _Sauvagine et oiseaux de milieux humides - espèces d'oies,Waterfowl and Wetland Birds - Duck Species _Sauvagine et oiseaux de milieux humides - espèces de canards,Grassland Birds - Species Dependent On Native  Grassland _Oiseaux de prairie - espèces dépendantes des prairies indigènes,Grassland Birds - Species Tolerant Of Agriculture _Oiseaux de prairie - espèces tolérantes des paysages agricoles,Shorebirds - Long-distance Migrants _Oiseaux de rivage migrant sur de grandes distances,Shorebirds - Short-distance Migrants _Oiseaux de rivage migrant sur de courtes distances,Forest Birds - Species Wintering In South America _Oiseaux forestiers - espèces hivernant en Amérique du Sud,Forest Birds - Species Wintering In Canada _Oiseaux forestiers - espèces hivernant au Canada,Forest Birds - Forest Crop Specialists _Oiseaux forestiers - spécialistes de graines et de fruits d'arbres,
Hoary Redpoll,Sizerin blanchâtre,Acanthis hornemanni,1755,Regular Breeder_Espèce qui niche régulièrement,1460,Increasing_Augmentation,CBC CA_RON CA,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Red Crossbill,Bec-croisé des sapins,Loxia curvirostra,1756,Regular Breeder_Espèce qui niche régulièrement,165,Increasing_Augmentation,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,Included_Inclus,
White-winged Crossbill,Bec-croisé bifascié,Loxia leucoptera,1759,Regular Breeder_Espèce qui niche régulièrement,-50.4,Decreasing_Diminution,CBC NA_RON AmN,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,Included_Inclus,
Pine Siskin,Tarin des pins,Spinus pinus,1762,Regular Breeder_Espèce qui niche régulièrement,-66.9,Decreasing_Diminution,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,Included_Inclus,
American Goldfinch,Chardonneret jaune,Spinus tristis,1770,Regular Breeder_Espèce qui niche régulièrement,-28.1,Decreasing_Diminution,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Lapland Longspur,Plectrophane lapon,Calcarius lapponicus,1772,Regular Breeder_Espèce qui niche régulièrement,-64.9,Decreasing_Diminution,CBC NA_RON AmN,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Chestnut-collared Longspur,Plectrophane à ventre noir,Calcarius ornatus,1773,Regular Breeder_Espèce qui niche régulièrement,-91.7,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,,,Included_Inclus,,,,Included_Inclus,,,,,,,
Smith's Longspur,Plectrophane de Smith,Calcarius pictus,1774,Regular Breeder_Espèce qui niche régulièrement,3250,Increasing_Augmentation,CBC NA_RON AmN,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
McCown's Longspur,Plectrophane de McCown,Rhynchophanes mccownii,1775,Regular Breeder_Espèce qui niche régulièrement,-95.9,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,,,Included_Inclus,,,,Included_Inclus,,,,,,,
Snow Bunting,Plectrophane des neiges,Plectrophenax nivalis,1776,Regular Breeder_Espèce qui niche régulièrement,-60.8,Decreasing_Diminution,CBC NA_RON AmN,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Spotted Towhee,Tohi tacheté,Pipilo maculatus,1804,Regular Breeder_Espèce qui niche régulièrement,52.2,Increasing_Augmentation,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Eastern Towhee,Tohi à flancs roux,Pipilo erythrophthalmus,1805,Regular Breeder_Espèce qui niche régulièrement,-46.6,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
American Tree Sparrow,Bruant hudsonien,Spizelloides arborea,1827,Regular Breeder_Espèce qui niche régulièrement,-67.2,Decreasing_Diminution,CBC NA_RON AmN,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Chipping Sparrow,Bruant familier,Spizella passerina,1828,Regular Breeder_Espèce qui niche régulièrement,-45.2,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Clay-colored Sparrow,Bruant des plaines,Spizella pallida,1829,Regular Breeder_Espèce qui niche régulièrement,-40.9,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Brewer's Sparrow,Bruant de Brewer,Spizella breweri,1830,Regular Breeder_Espèce qui niche régulièrement,18.7,Stable_Stables,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Field Sparrow,Bruant des champs,Spizella pusilla,1831,Regular Breeder_Espèce qui niche régulièrement,-47.2,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
